Régions;0 à 19 ans;20 à 39 ans;40 à 59 ans;60 à 74 ans;75 ans et plus
Auvergne-Rhône-Alpes;1 949 046;1 912 446;2 091 568;1 300 940;738 341
Bourgogne-Franche-Comté;641 808;605 603;733 029;522 342;301 503
Bretagne;783 367;720 621;873 842;600 862;344 663
Centre-Val de Loire;607 944;548 438;675 546;465 986;273 718
Corse;68 240;76 089;92 089;61 864;38 187
Grand Est;1 281 846;1 306 290;1 484 449;945 159;515 814
Hauts-de-France;1 555 986;1 461 811;1 550 658;954 602;469 025
Ile-de-France;3 135 508;3 410 006;3 206 998;1 610 533;820 848
Normandie;801 195;738 794;866 165;594 330;326 083
Nouvelle-Aquitaine;1 304 945;1 280 147;1 581 603;1 135 691;670 721
Occitanie;1 326 395;1 329 322;1 531 370;1 058 950;621 603
Pays de la Loire;942 826;856 130;973 815;636 938;361 960
Provence-Alpes-Côte d'Azur;1 136 776;1 126 489;1 323 625;908 286;553 278
Guadeloupe;99 578;73 819;115 962;66 385;31 079
Martinique;84 543;68 753;113 076;66 581;35 687
Guyane;119 876;80 999;62 083;19 633;4 913
La Réunion;267 969;206 545;241 266;105 982;40 546
Mayotte;139 957;69 248;39 937;8 857;2 373
